Name,Popularity,Faith,Hope,Love,Loving (ignore),Valence,pop_binary
You Say,79,0,0,0,0,0.0791,1
Reckless Love,73,0,0,1,0,0.232,1
Way Maker - Live,73,0,0,0,0,0.183,1
O Come to the Altar (Live),71,0,0,0,0,0.152,1
Rescue,71,0,0,0,0,0.109,1
Oceans (Where Feet May Fail),71,0,0,0,0,0.0613,1
Do It Again,69,0,0,0,0,0.159,1
Raise a Hallelujah (Live),69,0,0,0,0,0.291,1
Yes I Will,69,0,0,0,0,0.243,1
Dear No One,68,0,0,0,0,0.462,1
Build My Life,68,0,0,0,0,0.117,1
So Will I (100 Billion X),68,0,0,0,0,0.177,1
Good Good Father,68,0,0,0,0,0.164,1
Tremble - Live,68,0,0,0,0,0.162,1
I Was Made For Loving You,67,0,0,1,1,0.216,1
Nobody (feat. Matthew West),67,0,0,0,0,0.454,1
Look Up Child,67,0,0,0,0,0.653,1
King of My Heart (Live),67,0,0,0,0,0.395,1
Known,66,0,0,0,0,0.753,1
Here Again,66,0,0,0,0,0.103,1
Trust In You,66,0,0,0,0,0.218,1
Goodness of God (Live),66,0,0,0,0,0.395,1
No Longer Slaves (Spontaneous) [Live],66,0,0,0,0,0.242,1
It Is Well (Live),66,0,0,0,0,0.11,1
Paper Hearts,65,0,0,0,0,0.242,1
Peace Be Still - Live,65,0,0,0,0,0.0711,1
Glorious Day - Live,65,0,0,0,0,0.166,1
How Great Is Our God,65,0,0,0,0,0.0765,1
Our God,65,0,0,0,0,0.216,1
Who You Say I Am,64,0,0,0,0,0.21,1
Hills and Valleys (The Valleys Version),64,0,0,0,0,0.45,1
Resurrecting (Live),64,0,0,0,0,0.203,1
Whole Heart (Hold Me Now) - Live,64,0,0,0,0,0.112,1
Another In The Fire - Live,64,0,0,0,0,0.0827,1
Breakthrough - Live,64,0,0,0,0,0.0986,1
This Is Amazing Grace,64,0,0,0,0,0.273,1
What A Beautiful Name - Live,63,0,0,0,0,0.126,1
Even If,63,0,0,0,0,0.151,1
God's Not Dead (Like A Lion),63,0,0,0,0,0.612,1
Here as in Heaven,63,0,0,0,0,0.112,1
Great Are You Lord - Live,63,0,0,0,0,0.145,1
Forever - Live,63,0,0,0,0,0.112,1
Living Hope,63,0,1,0,0,0.317,1
King Of Kings,62,0,0,0,0,0.177,1
Who You Say I Am - Live,62,0,0,0,0,0.226,1
What A Beautiful Name,62,0,0,0,0,0.099,1
Broken Vessels (Amazing Grace) - Live,62,0,0,0,0,0.0869,1
Lo Har_s Otra Vez (Do It Again),62,0,0,0,0,0.0885,1
Still Rolling Stones,62,0,0,0,0,0.213,1
Love Like This,62,0,0,1,0,0.111,1
Good Grace - Live,62,0,0,0,0,0.243,1
In Christ Alone - Live,62,0,0,0,0,0.172,1
Dead Man Walking,62,0,0,0,0,0.358,1
Endless Alleluia,61,0,0,0,0,0.229,1
Oh My Soul,61,0,0,0,0,0.141,1
Just Be Held,61,0,0,0,0,0.265,1
The Lion and the Lamb,61,0,0,0,0,0.328,1
Like You Love Me,61,0,0,1,0,0.931,1
How Can It Be,61,0,0,0,0,0.168,1
I Will Fear No More,61,0,0,0,0,0.26,1
No One Ever Cared for Me Like Jesus,61,0,0,0,0,0.228,1
Christ The Lord Is with Me (with Amanda Lindsey Cook & Wonder Grace Gretzinger),61,0,0,0,0,0.0394,1
Haven't Seen It Yet,61,0,0,0,0,0.609,1
Till I Found You,61,0,0,0,0,0.221,1
Into the Deep (Live),60,0,0,0,0,0.219,1
Control (Somehow You Want Me),60,0,0,0,0,0.131,1
Not in a Hurry,60,0,0,0,0,0.39,1
Only Jesus,60,0,0,0,0,0.284,1
Famous For (I Believe),60,0,0,0,0,0.21,1
My Lighthouse,60,0,0,0,0,0.727,1
Not in a Hurry,60,0,0,0,0,0.39,1
Won't Stop Now,60,0,0,0,0,0.105,1
This Girl,60,0,0,0,0,0.11,1
Out of Hiding,60,0,0,0,0,0.23,1
Run To The Father,60,0,0,0,0,0.0977,1
How To Be Yours,60,0,0,0,0,0.0951,1
Is He Worthy?,60,0,0,0,0,0.217,1
Tell Your Heart To Beat Again,60,0,0,0,0,0.196,1
Stand in Your Love (Live),60,0,0,1,0,0.524,1
Not in a Hurry,60,0,0,0,0,0.39,1
I Am Not Alone - Live,60,0,0,0,0,0.201,1
Awake My Soul,59,0,0,0,0,0.127,1
New Wine,59,0,0,0,0,0.154,1
So Will I (100 Billion X),59,0,0,0,0,0.0981,1
O Praise The Name (An_stasis) - Live,59,0,0,0,0,0.303,1
We Believe,59,0,0,0,0,0.149,1
Set a Fire,59,0,0,0,0,0.25,1
Praise You In This Storm,59,0,0,0,0,0.346,1
Redeemed,59,0,0,0,0,0.227,1
Counting Every Blessing,59,0,0,0,0,0.174,1
Set a Fire,59,0,0,0,0,0.25,1
Hosanna - Live,59,0,0,0,0,0.179,1
Hallelujah Here Below (Paradoxology) (feat. Steffany Gretzinger),59,0,0,0,0,0.475,1
With You (Paradoxology),59,0,0,0,0,0.265,1
O Come to the Altar (Acoustic),59,0,0,0,0,0.162,1
Everything,59,0,0,0,0,0.178,1
Remember,59,0,0,0,0,0.164,1
Turn Your Eyes Upon Jesus,59,0,0,0,0,0.245,1
Not Today,59,0,0,0,0,0.579,1
Touch The Sky,59,0,0,0,0,0.206,1
Remember,59,0,0,0,0,0.136,1
Forever Amen,59,0,0,0,0,0.0496,1
At The Cross (Love Ran Red),59,0,0,1,0,0.127,1
Whom Shall I Fear (God Of Angel Armies),59,0,0,0,0,0.418,1
Pieces (Live),59,0,0,0,0,0.05,1
Set a Fire,59,0,0,0,0,0.25,1
New Wine - Live,58,0,0,0,0,0.145,1
O Praise The Name (An_stasis),58,0,0,0,0,0.303,1
This I Believe (The Creed) - Live,58,0,0,0,0,0.17,1
Greater,58,0,0,0,0,0.591,1
Coffee,58,0,0,0,0,0.326,1
Lay It All Down,58,0,0,0,0,0.277,1
Open Space,58,0,0,0,0,0.146,1
I Know,58,0,0,0,0,0.234,1
God's Not Done with You,58,0,0,0,0,0.317,1
Lay It All Down,58,0,0,0,0,0.277,1
Como en el Cielo (Here as in Heaven),58,0,0,0,0,0.101,1
Give Me Faith,58,1,0,0,0,0.339,1
Your Wings,58,0,0,0,0,0.614,1
More To Me (with Chandler Moore),58,0,0,0,0,0.182,1
The Olive Grove,58,0,0,0,0,0.0743,1
I Don't Wanna Go,58,0,0,0,0,0.348,1
"Hello, My Name Is",58,0,0,0,0,0.643,1
Lay It All Down,58,0,0,0,0,0.277,1
Spirit of the Living God,58,0,0,0,0,0.166,1
I'll Find You,58,0,0,0,0,0.166,1
Start A Fire,57,0,0,0,0,0.585,1
Flawless,57,0,0,0,0,0.509,1
You're Beautiful,57,0,0,0,0,0.175,1
Simple Gospel (Live),57,0,0,0,0,0.165,1
Yes and Amen,57,0,0,0,0,0.188,1
Good Good Father - Live,57,0,0,0,0,0.17,1
Simple Gospel (Live),57,0,0,0,0,0.165,1
Hallelujah Here Below,57,0,0,0,0,0.105,1
Echo (feat. Tauren Wells),57,0,0,0,0,0.542,1
Worthy,57,0,0,0,0,0.144,1
Unstoppable God,57,0,0,0,0,0.363,1
Losing My Religion,57,0,0,0,0,0.387,1
Rebel Heart,57,0,0,0,0,0.288,1
Come Alive (Dry Bones),57,0,0,0,0,0.133,1
Nothing Is Impossible (Featuring Israel Houghton),57,0,0,0,0,0.539,1
Highlands (Song of Ascent) - Live,57,0,0,0,0,0.252,1
This Close (with Chandler Moore),57,0,0,0,0,0.0971,1
Center of All History,57,0,0,0,0,0.119,1
Follow You Anywhere - Live,57,0,0,0,0,0.138,1
Blessings,57,0,0,0,0,0.374,1
Great Are You Lord,57,0,0,0,0,0.0611,1
To the One (Live),57,0,0,0,0,0.131,1
Defender (Live),57,0,0,0,0,0.0704,1
Refiner,57,0,0,0,0,0.211,1
Communion,57,0,0,0,0,0.196,1
Nobody Loves Me Like You,57,0,0,1,0,0.411,1
Better Word - Live,57,0,0,0,0,0.154,1
Reckless Love (Spontaneous),57,0,0,1,0,0.0604,1
Ever Be (Live),57,0,0,0,0,0.107,1
You Make Me Brave (Live),57,0,0,0,0,0.343,1
Revelation Song,57,0,0,0,0,0.0997,1
King Of Kings - Live,56,0,0,0,0,0.198,1
Farther Along,56,0,0,0,0,0.157,1
