,0,1
0,live,1515
1,the,1193
2,you,709
3,of,560
4,i,534
5,is,396
6,in,394
7,my,383
8,love,354
9,me,350
10,to,313
11,god,306
12,all,286
13,a,277
14,instrumental,273
15,your,259
16,jesus,236
17,and,210
18,feat,201
19,it,196
20,acoustic,189
21,come,172
22,we,163
23,on,161
24,are,158
25,for,157
26,be,153
27,s,153
28,will,137
29,o,136
30,heart,135
31,this,133
32,with,132
33,one,131
34,lord,125
35,version,119
36,song,118
37,king,109
38,track,108
39,holy,107
40,our,101
41,praise,97
42,name,96
43,here,94
44,life,90
45,grace,90
46,heaven,90
47,let,90
48,what,88
49,how,87
50,up,85
51,world,83
52,great,81
53,not,81
54,no,80
55,light,80
56,have,79
57,us,78
58,beautiful,76
59,like,76
60,t,76
61,go,76
62,sing,76
63,christ,75
64,story,75
65,glory,72
66,he,71
67,good,70
68,commentary,70
69,psalm,69
70,performance,67
71,so,66
72,never,66
73,from,66
74,night,64
75,christmas,64
76,soul,63
77,new,63
78,accompaniment,63
79,only,61
80,remix,61
81,forever,59
82,cross,59
83,am,58
84,joy,58
85,know,57
86,can,56
87,chapter,56
88,who,55
89,again,54
90,more,53
91,give,53
92,jeremy,53
93,unfinished,52
94,way,51
95,day,51
96,unison,51
97,adrienne,51
98,camp,51
99,father,50
100,alone,48
101,there,48
102,when,48
103,medley,48
104,now,47
105,oh,47
106,nothing,47
107,background,47
108,every,46
109,alive,46
110,take,46
111,vocals,46
112,just,45
113,little,45
114,by,44
115,mercy,44
116,re,43
117,living,42
118,out,42
119,everything,42
120,down,42
121,than,41
122,need,41
123,faithful,41
124,as,40
125,hope,40
126,m,40
127,high,40
128,still,39
129,better,39
130,power,39
131,away,39
132,eyes,38
133,things,38
134,see,38
135,that,38
136,hallelujah,37
137,spontaneous,37
138,fire,37
139,spirit,37
140,back,37
141,time,37
142,always,37
143,where,36
144,home,36
145,over,36
146,thing,36
147,angels,35
148,worthy,34
149,broken,33
150,stand,33
151,shine,33
152,album,33
153,faith,32
154,thou,32
155,without,32
156,free,32
157,say,31
158,at,31
159,word,31
160,mighty,31
161,through,31
162,silent,31
163,do,30
164,hold,30
165,want,30
166,open,30
167,fall,30
168,believe,29
169,reagan,29
170,if,28
171,lamb,28
172,first,28
173,earth,28
174,ye,28
175,well,27
176,glorious,27
177,deep,27
178,his,27
179,hear,27
180,emmanuel,27
181,reprise,27
182,loved,26
183,behold,26
184,enough,26
185,passion,26
186,hands,26
187,joyful,26
188,him,26
189,place,25
190,but,25
191,blood,25
192,lift,25
193,prayer,25
194,bonus,25
195,amazing,24
196,ever,24
197,an,24
198,upon,24
199,born,24
200,save,24
201,human,24
202,medium,24
203,trust,23
204,found,23
205,yours,23
206,wonderful,23
207,interlude,23
208,radio,23
209,blessed,23
210,sound,23
211,brock,23
212,sweet,23
213,extended,23
214,man,22
215,won,22
216,tell,22
217,set,22
218,hosanna,22
219,ve,22
220,rest,22
221,made,21
222,son,21
223,friend,21
224,hail,21
225,feet,20
226,yet,20
227,amen,20
228,don,20
229,days,20
230,savior,20
231,rise,20
232,thank,20
233,stars,20
