Source.Name,Column1,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,contain_love,contain_god,contain_jesus,contain_heart,contain_king
lauren daigle.xlsx,4,Look Up Child,5,6Up545NUflOiXo8cEraH49,You Say,spotify:track:6Up545NUflOiXo8cEraH49,0.682,0.486,0.632,0,0.0869,-6.89,0.0344,147.892,0.0791,79,0,0,0,0,0
Cory Asbury.xlsx,0,Reckless Love,1,0rH0mprtecH3grD9HFM5AD,Reckless Love,spotify:track:0rH0mprtecH3grD9HFM5AD,0.0291,0.572,0.685,0,0.0963,-7.29,0.0356,110.698,0.232,73,1,0,0,0,0
Leeland.xlsx,2,Better Word (Live),3,40ozK0lCJ0EQzVGWsCNUhk,Way Maker - Live,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,0.0289,0.432,0.524,0,0.682,-8.721,0.0321,135.956,0.183,73,0,0,0,0,0
Elevation Worship.xlsx,73,Here As In Heaven,4,1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live),spotify:track:1lEk3U3MzbDeL5MNHkE9JU,0.00274,0.256,0.564,0,0.743,-6.496,0.0366,139.914,0.152,71,0,0,0,0,0
lauren daigle.xlsx,1,Look Up Child,2,7r9kOxiNDnkAg5QKqtyjVk,Rescue,spotify:track:7r9kOxiNDnkAg5QKqtyjVk,0.78,0.309,0.237,0,0.11,-8.17,0.0283,94.616,0.109,71,0,0,0,0,0
Hillsong UNITED.xlsx,202,Zion,4,5SDcksP8En1l6RtTY1wzHc,Oceans (Where Feet May Fail),spotify:track:5SDcksP8En1l6RtTY1wzHc,0.501,0.264,0.363,0.00406,0.11,-10.196,0.0338,124.328,0.0613,71,0,0,0,0,0
Elevation Worship.xlsx,55,There Is a Cloud,3,3iOpiHDobxZO7S4p9Y2Fgu,Do It Again,spotify:track:3iOpiHDobxZO7S4p9Y2Fgu,0.0119,0.347,0.508,0,0.595,-7.555,0.0297,171.827,0.159,69,0,0,0,0,0
Bethel Music.xlsx,45,Victory,1,0YxrPdW9NpNFtqh7Fw0rva,Raise a Hallelujah (Live),spotify:track:0YxrPdW9NpNFtqh7Fw0rva,0.0041,0.452,0.866,0,0.134,-4.431,0.04,81.972,0.291,69,0,0,0,0,0
Vertical Worship.xlsx,25,Bright Faith Bold Future,2,1sF4VadVaVTvp9WTEy79JT,Yes I Will,spotify:track:1sF4VadVaVTvp9WTEy79JT,0.0561,0.43,0.708,0,0.704,-7.14,0.0336,75.024,0.243,69,0,0,0,0,0
Tori Kelly.xlsx,108,Foreword,2,2wWboDFZJPWXVNlHUbdSVQ,Dear No One,spotify:track:2wWboDFZJPWXVNlHUbdSVQ,0.126,0.627,0.592,0,0.111,-5.977,0.314,167.882,0.462,68,0,0,0,0,0
Housefires.xlsx,27,Housefires III,8,3BDpn2Vivr1BFhlGsYs5tp,Build My Life,spotify:track:3BDpn2Vivr1BFhlGsYs5tp,0.371,0.303,0.478,0,0.131,-7.851,0.0352,139.795,0.117,68,0,0,0,0,0
Hillsong UNITED.xlsx,53,Wonder,4,1ed3wNCecRIp6SugyR0w2J,So Will I (100 Billion X),spotify:track:1ed3wNCecRIp6SugyR0w2J,0.0462,0.432,0.416,0.00000201,0.144,-10.376,0.0296,127.963,0.177,68,0,0,0,0,0
